id,First_pokemon,Second_pokemon,Winner
0,88,85,85
1,466,408,466
2,715,120,715
3,467,377,467
4,416,206,206
5,338,111,338
6,308,691,308
7,761,493,493
8,453,159,159
9,374,614,614
10,203,423,423
11,333,457,333
12,382,326,382
13,89,561,561
14,194,427,427
15,740,452,740
16,339,668,339
17,511,459,511
18,528,175,528
19,575,651,651
20,761,360,360
21,411,548,548
22,453,475,453
23,1,579,1
24,95,206,206
25,130,341,341
26,168,100,100
27,271,706,706
28,177,346,177
29,120,462,462
30,142,730,142
31,736,667,736
32,763,40,40
33,25,629,629
34,687,406,687
35,667,589,589
36,748,649,748
37,645,676,645
38,407,724,724
39,444,484,444
40,313,784,784
41,267,206,206
42,181,134,134
43,160,531,531
44,513,184,184
45,382,1,1
46,241,303,303
47,486,775,775
48,192,337,337
49,379,493,493
50,119,431,431
51,132,461,461
52,606,438,606
53,257,634,634
54,541,349,349
55,247,632,632
56,527,457,527
57,554,244,554
58,626,571,571
59,258,370,370
60,53,511,511
61,743,157,157
62,380,579,380
63,49,559,559
64,100,328,328
65,595,623,623
66,794,379,794
67,505,84,84
68,172,247,172
69,374,699,699
70,257,84,84
71,414,157,414
72,614,154,154
73,496,182,496
74,784,2,2
75,505,293,505
76,257,113,257
77,631,719,631
78,113,51,51
79,715,748,715
80,423,544,544
81,485,248,248
82,39,175,175
83,500,451,500
84,139,755,139
85,334,486,334
86,206,600,600
87,778,104,778
88,18,742,742
89,248,390,248
90,163,621,621
91,31,422,422
92,741,283,283
93,192,768,768
94,67,328,328
95,800,105,800
96,490,394,394
97,154,396,154
98,442,566,442
99,54,376,376
100,198,788,788
101,737,152,737
102,106,257,257
103,590,529,590
104,647,17,647
105,281,171,171
106,676,589,589
107,525,333,525
108,55,400,55
109,356,493,493
110,708,64,708
111,4,489,4
112,178,633,633
113,507,132,132
114,753,656,656
115,96,198,198
116,637,798,798
117,413,513,513
118,749,672,672
119,181,365,181
120,121,217,217
121,314,197,314
122,55,750,750
123,43,225,43
124,714,693,714
125,73,298,298
126,700,646,700
127,72,669,72
128,795,698,795
129,671,278,671
130,691,304,691
131,632,559,632
132,301,255,301
133,350,11,350
134,409,87,409
135,595,570,595
136,713,179,713
137,362,750,362
138,680,437,437
139,603,229,603
140,19,222,19
141,285,232,232
142,365,391,391
143,538,454,538
144,190,466,466
145,791,610,610
146,770,787,787
147,373,694,694
148,743,591,591
149,43,463,463
150,108,383,383
151,256,85,85
152,698,539,539
153,348,2,348
154,76,540,540
155,497,202,202
156,325,664,664
157,678,535,535
158,609,690,690
159,588,529,588
160,96,604,96
161,21,167,21
162,649,340,340
163,650,569,569
164,444,478,478
165,7,681,7
166,784,189,189
167,361,7,7
168,516,210,516
169,401,708,708
170,711,588,588
171,324,57,57
172,736,685,685
173,513,387,513
174,421,417,421
175,130,100,130
176,440,525,525
177,338,29,338
178,175,119,175
179,700,543,700
180,750,372,372
181,486,392,392
182,352,244,244
183,529,142,142
184,228,531,531
185,728,308,308
186,230,326,230
187,743,288,288
188,20,94,20
189,700,660,700
190,197,640,197
191,91,532,532
192,349,739,349
193,705,645,705
194,537,743,537
195,657,434,657
196,226,645,645
197,729,312,729
198,16,324,16
199,298,409,409
200,167,37,37
201,21,602,21
202,268,588,588
203,43,469,469
204,34,260,260
205,50,6,6
206,718,271,718
207,76,794,794
208,317,25,25
209,89,603,603
210,545,261,261
211,494,441,494
212,329,137,137
213,42,771,771
214,374,280,280
215,54,785,785
216,608,299,608
217,439,632,632
218,23,166,23
219,321,482,482
220,374,453,453
221,552,172,552
222,203,416,416
223,651,698,698
224,135,313,135
225,8,177,8
226,513,157,513
227,187,656,656
228,157,719,157
229,39,15,39
230,515,562,562
231,423,585,423
232,83,526,526
233,130,349,349
234,211,745,745
235,696,138,138
236,698,424,424
237,264,791,264
238,135,311,135
239,397,233,397
240,374,768,768
241,426,79,426
242,381,349,349
243,191,99,99
244,421,792,792
245,420,529,420
246,126,107,126
247,239,678,239
248,67,781,67
249,115,346,115
250,592,726,726
251,147,469,147
252,256,298,298
253,439,776,776
254,345,471,345
255,528,353,528
256,430,378,430
257,580,676,580
258,662,246,246
259,447,14,14
260,411,450,450
261,60,501,60
262,226,510,510
263,616,177,616
264,380,49,380
265,465,641,465
266,295,579,295
267,53,687,687
268,676,449,676
269,252,340,252
270,421,566,421
271,106,423,423
272,793,314,314
273,179,225,179
274,557,63,557
275,647,592,647
276,218,570,570
277,622,175,175
278,704,453,704
279,546,425,425
280,103,771,103
281,203,449,203
282,418,661,418
283,89,636,636
284,433,639,433
285,600,676,600
286,77,290,77
287,39,103,103
288,576,578,576
289,727,334,727
290,663,560,663
291,577,277,277
292,382,411,411
293,789,272,272
294,356,286,286
295,669,113,113
296,723,184,184
297,359,455,359
298,345,248,248
299,94,770,770
300,765,793,793
301,644,507,507
302,528,88,528
303,534,282,534
304,665,633,633
305,518,299,518
306,383,560,383
307,701,583,583
308,231,598,598
309,299,790,299
310,277,200,200
311,638,393,393
312,261,762,261
313,750,404,404
314,177,308,177
315,501,586,501
316,52,612,612
317,177,644,177
318,793,691,793
319,188,414,414
320,11,429,429
321,492,57,57
322,569,615,569
323,209,708,209
324,620,772,620
325,56,632,56
326,157,172,172
327,317,370,370
328,277,516,277
329,554,3,554
330,672,732,732
331,447,433,433
332,293,792,792
333,68,345,68
334,423,244,423
335,442,470,442
336,615,465,465
337,100,509,100
338,484,9,9
339,697,145,697
340,221,424,424
341,428,339,339
342,140,483,140
343,572,126,572
344,621,209,209
345,71,295,71
346,167,797,797
347,795,425,795
348,147,629,147
349,545,344,545
350,385,203,203
351,567,670,670
352,661,122,661
353,535,9,9
354,74,259,259
355,55,405,55
356,421,413,421
357,552,734,552
358,480,645,480
359,699,186,699
360,501,332,501
361,449,364,364
362,450,789,450
363,326,393,393
364,355,394,394
365,591,774,774
366,544,350,350
367,380,763,380
368,605,156,605
369,83,491,83
370,343,235,343
371,674,257,674
372,566,309,309
373,147,278,147
374,117,159,159
375,635,86,635
376,73,634,634
377,103,617,103
378,338,634,634
379,621,409,409
380,436,794,794
381,485,791,791
382,268,744,268
383,57,408,57
384,131,747,131
385,551,679,679
386,121,485,121
387,724,554,724
388,502,726,726
389,62,781,781
390,298,316,316
391,81,771,771
392,443,666,443
393,629,377,629
394,101,366,101
395,142,713,713
396,416,759,759
397,652,557,557
398,764,669,764
399,796,734,796
400,566,62,62
401,109,405,405
402,37,391,391
403,348,397,397
404,434,256,434
405,108,426,426
406,656,111,656
407,751,287,287
408,447,35,35
409,135,198,135
410,702,465,702
411,744,661,744
412,623,102,102
413,548,27,548
414,493,261,261
415,356,45,45
416,688,17,688
417,302,777,302
418,107,678,107
419,143,251,143
420,749,687,687
421,101,795,795
422,704,179,704
423,58,380,58
424,767,512,767
425,132,246,132
426,396,202,202
427,742,451,451
428,657,375,657
429,564,240,240
430,694,557,557
431,105,148,148
432,637,652,637
433,683,734,683
434,19,669,19
435,434,108,108
436,616,145,616
437,502,359,502
438,449,214,214
439,637,364,364
440,430,673,430
441,787,762,787
442,105,450,450
443,347,115,115
444,255,773,773
445,582,420,420
446,1,351,351
447,745,652,745
448,584,494,494
449,215,567,567
450,163,652,163
451,502,143,502
452,85,179,85
453,26,93,93
454,25,181,181
455,210,629,629
456,488,16,16
457,216,130,130
458,288,115,288
459,765,508,508
460,701,23,701
461,100,722,100
462,465,429,429
463,39,92,92
464,214,145,214
465,456,677,677
466,755,784,755
467,554,469,554
468,495,276,276
469,243,101,101
470,217,227,217
471,634,181,181
472,202,534,534
473,255,226,226
474,589,778,778
475,533,546,546
476,710,639,710
477,511,95,95
478,440,541,541
479,797,1,797
480,68,282,68
481,256,653,256
482,425,611,611
483,409,508,409
484,223,27,223
485,528,793,528
486,142,106,142
487,682,637,682
488,560,643,643
489,218,195,195
490,511,630,630
491,326,334,326
492,251,693,693
493,765,72,72
494,764,260,260
495,376,721,721
496,107,605,107
497,192,275,275
498,371,571,371
499,67,741,67
500,428,672,428
501,121,631,121
502,776,203,776
503,231,249,249
504,20,248,20
505,798,558,558
506,540,445,540
507,24,47,24
508,180,551,551
509,249,658,249
510,731,674,674
511,211,513,513
512,103,744,103
513,126,365,126
514,539,214,214
515,751,534,534
516,650,454,650
517,625,264,264
518,520,691,520
519,726,186,726
520,774,87,774
521,56,706,56
522,182,651,651
523,37,184,184
524,175,459,175
525,592,73,592
526,485,431,431
527,709,316,316
528,426,631,426
529,26,448,26
530,439,175,175
531,231,72,72
532,267,124,124
533,32,170,32
534,312,16,16
535,356,583,583
536,659,343,343
537,747,19,747
538,484,590,590
539,787,377,377
540,680,611,611
541,416,6,6
542,499,117,499
543,6,111,6
544,274,436,274
545,693,738,693
546,357,82,357
547,668,605,605
548,193,719,193
549,659,318,318
550,135,783,135
551,96,445,445
552,402,432,432
553,750,701,750
554,657,415,657
555,166,457,166
556,518,305,518
557,550,733,550
558,82,647,647
559,73,178,178
560,324,593,593
561,353,796,796
562,321,165,165
563,8,326,8
564,143,609,143
565,207,339,339
566,79,91,79
567,728,705,705
568,635,206,635
569,36,546,546
570,178,152,152
571,653,469,469
572,723,54,723
573,578,387,387
574,529,132,529
575,581,476,476
576,776,212,212
577,149,116,116
578,146,615,146
579,654,4,4
580,131,179,131
581,390,737,737
582,326,636,326
583,140,36,36
584,506,301,301
585,525,88,525
586,353,692,692
587,759,276,276
588,613,529,613
589,4,694,694
590,572,714,714
591,286,722,286
592,592,393,393
593,622,501,622
594,197,278,278
595,127,672,127
596,511,65,65
597,255,625,625
598,397,400,397
599,412,181,181
600,415,313,313
601,364,684,364
602,684,462,462
603,549,499,499
604,748,355,355
605,701,653,701
606,21,265,265
607,198,786,786
608,403,789,403
609,682,43,682
610,717,99,717
611,738,361,361
612,513,296,513
613,163,260,163
614,456,223,223
615,599,703,703
616,651,53,53
617,262,47,47
618,195,37,37
619,347,226,347
620,673,234,234
621,14,564,14
622,80,430,430
623,64,744,64
624,596,465,465
625,614,455,614
626,187,501,501
627,773,779,773
628,604,286,286
629,259,204,259
630,280,423,280
631,360,301,301
632,83,25,83
633,182,52,182
634,241,670,670
635,278,374,278
636,63,239,63
637,639,354,354
638,405,472,472
639,709,690,709
640,246,249,249
641,522,79,522
642,540,490,540
643,667,645,645
644,684,49,684
645,206,60,206
646,551,242,551
647,89,642,642
648,643,514,643
649,509,798,798
650,547,795,795
651,319,792,792
652,323,349,349
653,98,373,373
654,383,641,383
655,665,119,119
656,224,199,199
657,395,626,395
658,176,323,323
659,528,682,528
660,438,447,438
661,277,295,295
662,671,767,671
663,792,198,792
664,734,139,139
665,64,30,30
666,70,434,434
667,517,590,590
668,583,160,583
669,238,477,477
670,186,552,552
671,85,315,85
672,360,311,311
673,309,794,794
674,612,40,40
675,380,502,380
676,219,577,219
677,392,305,392
678,132,529,529
679,88,557,557
680,770,587,587
681,56,681,56
682,53,278,278
683,93,669,669
684,715,392,715
685,87,312,312
686,81,123,123
687,514,579,514
688,535,691,535
689,339,648,339
690,134,723,134
691,19,70,70
692,613,116,116
693,578,389,578
694,256,338,338
695,122,747,747
696,315,32,32
697,274,291,274
698,572,693,572
699,316,241,316
700,639,120,120
701,28,636,28
702,569,796,569
703,466,689,466
704,365,349,349
705,505,794,794
706,490,528,528
707,349,718,718
708,436,281,436
709,164,204,164
710,437,741,437
711,566,596,596
712,150,448,448
713,694,670,694
714,769,68,68
715,238,208,208
716,309,38,309
717,537,767,537
718,233,682,682
719,613,654,613
720,454,387,387
721,621,784,621
722,343,634,343
723,261,101,101
724,612,517,612
725,163,8,163
726,367,180,367
727,583,97,583
728,493,323,493
729,566,641,566
730,605,762,605
731,71,778,71
732,797,399,797
733,333,350,350
734,378,50,50
735,454,683,454
736,523,351,523
737,71,44,71
738,432,57,432
739,399,548,548
740,391,186,186
741,700,757,700
742,140,202,202
743,146,134,134
744,29,49,29
745,40,54,40
746,116,170,116
747,340,114,114
748,725,200,725
749,302,591,302
750,219,551,551
751,352,93,93
752,350,74,350
753,132,353,132
754,342,522,522
755,724,413,724
756,10,31,31
757,374,281,281
758,416,396,396
759,402,642,642
760,731,689,731
761,320,179,179
762,180,699,699
763,268,347,268
764,694,133,694
765,644,473,473
766,157,366,157
767,455,453,453
768,704,266,704
769,742,310,742
770,735,777,735
771,280,527,280
772,529,334,334
773,232,350,350
774,659,518,518
775,513,312,513
776,602,53,602
777,690,677,677
778,100,92,92
779,213,129,129
780,771,455,771
781,735,684,735
782,593,740,740
783,738,789,738
784,552,785,552
785,333,340,340
786,195,727,727
787,168,147,147
788,705,178,705
789,663,787,663
790,378,393,393
791,434,599,599
792,241,202,202
793,504,498,498
794,518,677,677
795,743,379,379
796,692,527,527
797,733,129,129
798,393,363,393
799,125,182,125
800,534,410,410
801,737,700,700
802,474,795,474
803,606,6,606
804,681,504,681
805,638,142,142
806,174,44,44
807,486,664,664
808,223,248,248
809,526,269,526
810,118,188,118
811,243,732,243
812,354,755,755
813,199,21,21
814,621,194,621
815,300,650,300
816,402,360,402
817,436,110,110
818,35,104,104
819,543,483,543
820,482,650,650
821,488,96,96
822,304,443,443
823,498,750,498
824,424,771,424
825,558,428,428
826,571,678,571
827,751,213,213
828,15,396,396
